Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
BARBIE TRAVELS,11:30,17:50,06h 20m,INR 450,37 Seats available,A/C Seater Push Back (2+2),N/A,Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati
BLUE HILL TRAVELS INDIA LIMITED,20:00,03:30,07h 30m,INR 450,"24 Seats available
14 Window",NON A/C Seater Semi Sleeper (2+1),1.8,Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati
DESTINY TRAVELS,23:01,03:45,04h 44m,INR 470 447,31 Seats available,NON A/C Seater (2+1),N/A,Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati
NETWORK TRAVELS,17:00,23:00,06h 00m,"Starts from
INR 450 350","48 Seats available
30 Window",Non A/C Seater / Sleeper (2+1),4.3,Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat
Megha Transport,17:45,23:39,05h 54m,INR 500,41 Seats available,Bharat Benz NON A/C Seater / Sleeper (2+1),4.7,Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat
NETWORK TRAVELS,19:00,00:30,05h 30m,INR 400 300,"35 Seats available
22 Window",NON A/C Seater Push Back (2+1),4.6,Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat
Maa Laxmi,17:00,22:30,05h 30m,INR 400,"33 Seats available
20 Window",NON A/C Seater Push Back (2+1),2.1,Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat
Purple Wings Coaches,18:30,00:15,05h 45m,"Starts from
INR 630 567","25 Seats available
1 Single",A/C Seater / Sleeper (2+1),2.7,Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat
Aniruddha Travels,21:00,04:00,07h 00m,"Starts from
INR 550","15 Seats available
7 Window",NON A/C Seater/ Sleeper (2+1),3.0,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur
SANJEEBANI TRAVELS,20:15,03:00,06h 45m,"Starts from
INR 600",50 Seats available,Non A/C Seater / Sleeper (2+1),N/A,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur
Neha Travels,18:00,03:15,09h 15m,INR 650,"31 Seats available
18 Window",Non AC Seater (2+1),2.3,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur
Air Bus Travels,19:40,05:00,09h 20m,"Starts from
INR 500","37 Seats available
10 Single",NON AC Seater / Sleeper 2+1,3.9,Dibrugarh to Biswanath Charali,https://www.redbus.in/bus-tickets/dibrugarh-to-biswanath-charali
KIRAN TRAVELS,22:50,07:30,08h 40m,INR 600 540,"11 Seats available
6 Window",A/C Seater (2+1),4.7,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati
Pranjit Travels (Under ASTC),23:05,06:00,06h 55m,"Starts from
INR 620","11 Seats available
4 Window",A/C Seater / Sleeper (2+1),4.6,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati
Yatra Travels,22:20,06:00,07h 40m,INR 550 450,"14 Seats available
7 Window",NON AC Seater/ Sleeper (2+1),4.2,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati
Deep Travels,22:20,05:00,06h 40m,INR 499,"22 Seats available
10 Window",NON AC Seater / Sleeper 2+1,3.9,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati
,,,,,,,,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati
